,Community,month,year,Street_lights
3781,49,7,2018,26
3782,49,8,2009,3
3783,49,8,2010,26
3784,49,8,2011,100
3785,49,8,2012,55
3786,49,8,2013,57
3787,49,8,2014,45
3788,49,8,2015,52
3789,49,8,2016,30
3790,49,8,2017,32
3791,49,8,2018,29
3792,49,9,2008,1
3793,49,9,2009,3
3794,49,9,2010,43
3795,49,9,2011,56
3796,49,9,2012,43
3797,49,9,2013,50
3798,49,9,2014,30
3799,49,9,2015,41
3800,49,9,2016,17
3801,49,9,2017,24
3802,49,9,2018,30
3803,49,10,2009,9
3804,49,10,2010,32
3805,49,10,2011,52
3806,49,10,2012,41
3807,49,10,2013,26
3808,49,10,2014,37
3809,49,10,2015,31
3810,49,10,2016,14
3811,49,10,2017,30
3812,49,10,2018,15
3813,49,11,2009,7
3814,49,11,2010,33
3815,49,11,2011,51
3816,49,11,2012,27
3817,49,11,2013,32
3818,49,11,2014,22
3819,49,11,2015,25
